Question,Answer
শিশুকে জামিনে মুক্তি দেওয়ার জন্য কারা জামিনদার হতে পারে?,"শিশুর নিজের মুচলেকায় অথবা শিশুর মাতা-পিতা, তত্ত্বাবধানকারী অভিভাবক, আইনানুগ অভিভাবক, বর্ধিত পরিবারের সদস্য, প্রবেশন কর্মকর্তা বা শিশু-আদালত যাকে উপযুক্ত বিবেচনা করবে এমন কোনো প্রতিষ্ঠান বা সংস্থা জামিনদার হতে পারে।"
শিশুকে জামিন না দেওয়ার ক্ষেত্রে শিশু-আদালত কী করবে?,শিশুকে জামিন না দেওয়ার ক্ষেত্রে শিশু-আদালত নামঞ্জুরের কারণ লিপিবদ্ধ করবে এবং সংশ্লিষ্ট শিশুকে কোনো প্রত্যায়িত প্রতিষ্ঠানে প্রেরণের জন্য আদেশ প্রদান করবে।
"শিশু আইন, ২০১৩ অনুযায়ী, শিশু-আদালত কোন আদেশ প্রদানের ক্ষেত্রে প্রথমে কোন বিষয়টি বিবেচনা করবে?",শিশুর বয়স ও লিঙ্গ
শিশু-আদালত শিশুর কোন অবস্থা বিবেচনা করে?,শারীরিক ও মানসিক অবস্থা
শিশু-আদালত শিশুর কোন তথ্য বিবেচনা করে যা অপরাধ সংঘটনের কারণ সম্পর্কে ধারণা দেয়?,"অপরাধ সংঘটনের কারণ, দলবদ্ধতার তথ্য, সার্বিক পরিস্থিতি ও পটভূমি"
"শিশু আইন, ২০১৩ অনুযায়ী, আইনের সঙ্গে সংঘাতে জড়িত শিশুকে শিশু আদালতে হাজির করার কত দিনের মধ্যে সামাজিক অনুসন্ধান প্রতিবেদন দাখিল করতে হবে?",অনধিক ২১ (একুশ) দিনের মধ্যে।
সামাজিক অনুসন্ধান প্রতিবেদনে কী কী তথ্য অন্তর্ভুক্ত থাকবে?,"শিশুর পারিবারিক, সামাজিক, সাংস্কৃতিক, আর্থিক, মনস্তাত্ত্বিক, নৃতাত্ত্বিক ও শিক্ষাগত যোগ্যতা, পটভূমি, বসবাসের অবস্থা ও এলাকা এবং অপরাধ সংঘটিত হওয়ার পরিপ্রেক্ষিত।"
প্রবেশন কর্মকর্তার সামাজিক অনুসন্ধান প্রতিবেদন কীভাবে গণ্য করা হবে?,গোপনীয় বলিয়া গণ্য হইবে।
"শিশু আইন, ২০১৩ অনুযায়ী, শিশু আদালতকে বিচার সম্পন্ন করতে কত দিন সময় দেওয়া হয়েছে?",শিশু আদালতকে শিশুর প্রথম উপস্থিতির তারিখ থেকে ৩৬০ (তিনশত ষাট) দিনের মধ্যে বিচার সম্পন্ন করতে হবে।
"যদি যুক্তিসঙ্গত কারণে ৩৬০ দিনের মধ্যে বিচার সম্পন্ন করা সম্ভব না হয়, তাহলে শিশু আদালত কী করতে পারে?",যুক্তিসঙ্গত কারণ লিপিবদ্ধ করে শিশু আদালত বিচার সম্পন্ন করার সময়সীমা আরও ৬০ (ষাট) দিন বর্ধিত করতে পারে।
"যদি শিশু আদালত নির্ধারিত সময়ের মধ্যে বিচার সম্পন্ন না করতে পারে, তাহলে শিশুর কী হবে?","যদি শিশু আদালত নির্ধারিত সময়ের মধ্যে বিচার সম্পন্ন না করতে পারে, তাহলে হত্যা, ধর্ষণ, দস্যুতা, ডাকাতি, মাদক ব্যবসা বা অন্য কোন জঘন্য, ঘৃণ্য বা গুরুতর অপরাধের দায়ে দায়েরকৃত মামলা ব্যতীত, শিশু তার বিরুদ্ধে আনীত লঘু মাত্রার অভিযোগ থেকে অব্যাহতি পাবে এবং একই অপরাধের জন্য তার বিরুদ্ধে অন্য কোন বিচার প্রক্রিয়া গ্রহণ করা যাবে না।"
"শিশু আইন, ২০১৩ অনুযায়ী, কোন শিশুকে কী কী ধরনের দণ্ড দেওয়া যায় না?","মৃত্যুদণ্ড, যাবজ্জীবন কারাদণ্ড বা কারাদণ্ড।"
কোন শিশুকে কারাদণ্ড দেওয়ার ক্ষেত্রে শিশু আদালতের বিশেষ বিবেচনা কী?,যদি শিশুটি এত বেশি অবাধ্য বা ভ্রষ্ট চরিত্রের হয় যে তাকে প্রত্যয়িত প্রতিষ্ঠানে প্রেরণ করা যায় না এবং অন্যান্য আইনানুগ পন্থায় মামলাটির সুরাহা করা যায় না।
শিশু আদালত কর্তৃক প্রদত্ত কারাদণ্ডের মেয়াদ কত হতে পারে?,শিশুর অপরাধের জন্য প্রদেয় দণ্ডের সর্বোচ্চ মেয়াদ অতিক্রম করতে পারবে না।
"শিশু আইন, ২০১৩ অনুযায়ী, কোন শিশুকে কত বছরের জন্য আটকাদেশ দেওয়া যেতে পারে?",মৃত্যুদণ্ড বা যাবজ্জীবন কারাদণ্ডে দণ্ডনীয় অপরাধের ক্ষেত্রে অনুর্ধ্ব ১০ বছর এবং অন্যূন ৩ বছর। অন্য অপরাধের ক্ষেত্রে অনধিক ৩ বছর।
কোন শিশুকে কেন্দ্রীয় বা জেলা কারাগারে প্রেরণ করা হয়?,"হত্যা, ধর্ষণ, ডাকাতি, দস্যুতা বা মাদক ব্যবসা বা অন্য কোন গুরুতর মামলায় অভিযুক্ত শিশুর বয়স ১৮ বছর পূর্ণ হলে এবং মামলাটি আদালতে বিচারাধীন থাকলে বা আদালতের আদেশ অনুযায়ী আটকাদেশপ্রাপ্ত শিশুর বয়স ১৮ বছর পূর্ণ হলে।"
শিশু আদালত কোন শিশুকে আটকাদেশের পরিবর্তে কী দিতে পারে?,যথাযথ সতর্কীকরণের পর খালাস প্রদানের অথবা সদাচারণের জন্য প্রবেশনে মুক্তি দানের আদেশ।
"শিশু আইন, ২০১৩ অনুযায়ী, শিশু আদালতের প্রত্যেক আদেশে কী অন্তর্ভুক্ত থাকবে?","নির্দিষ্ট বিরতিতে পর্যালোচনা করার বিধান, যার মাধ্যমে শিশু আদালত তার প্রদত্ত আদেশ পুনর্বিবেচনা করতে পারে এবং শিশুকে শর্ত সাপেক্ষে বা বিনা শর্তে মুক্তি দিতে পারে।"
সরকার কীভাবে আটকাদেশপ্রাপ্ত শিশুকে মুক্তি দিতে পারে?,"ধারা ৩৪ এর উপ-ধারা (২) এর বিধান অনুসারে প্রাপ্ত সুপারিশ বিবেচনা করে, সরকার আটকাদেশপ্রাপ্ত শিশুকে শিশুউন্নয়ন কেন্দ্র বা প্রত্যয়িত প্রতিষ্ঠান থেকে বিনা শর্তে বা নির্ধারিত শর্ত সাপেক্ষে মুক্তি দিতে পারে।"
যদি সরকার শিশুকে মুক্তি না দেয় তবে কী করতে পারে?,সরকার সংশ্লিষ্ট বিষয়ে সুপারিশ প্রদানের জন্য বিষয়টি জাতীয় শিশুকল্যাণ বোর্ডের কাছে প্রেরণ করতে পারে।
"শিশু আইন, ২০১৩ অনুযায়ী, শিশু-আদালত কর্তৃক আদেশ প্রদানের ক্ষেত্রে কোন শব্দগুলি ব্যবহার করা যাবে না?","দণ্ডবিধিতে ব্যবহৃত ‘অপরাধী’, ‘দণ্ডিত’ বা ‘দণ্ডাদেশ’ শব্দসমূহ।"
"শিশুদের ক্ষেত্রে ‘অপরাধী’, ‘দণ্ডিত’ বা ‘দণ্ডাদেশ’ শব্দগুলির পরিবর্তে শিশু-আদালত কোন শব্দগুলি ব্যবহার করবে?","‘দোষী সাব্যস্ত ব্যক্তি’, ‘দোষী সাব্যস্তকরণ’, ‘দোষী সাব্যস্তকরণ আদেশ’ বা অন্য কোন পরিপূরক শব্দ।"
"শিশু আইন, ২০১৩-এর এই বিধানের উদ্দেশ্য কী?","শিশুদের ক্ষেত্রে ‘অপরাধী’, ‘দণ্ডিত’ বা ‘দণ্ডাদেশ’ শব্দগুলির ব্যবহার এড়ানো এবং তাদের পরিবর্তে আরও উপযুক্ত শব্দ ব্যবহার করা।"
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, পরিচালনা পরিষদের একটি গুরুত্বপূর্ণ ক্ষমতা কী?",সড়ক ব্যবহারের ক্ষেত্রে সড়ক বিভাগ সংশ্লিষ্ট আইনের অধীন চার্জের হার নির্ধারণপূর্বক সরকারের নিকট সুপারিশ পেশকরণ।
পরিচালনা পরিষদের আরেকটি গুরুত্বপূর্ণ কার্যাবলী কী?,"কর্মসূচি পর্যালোচনা, অনুমোদন, হালনাগাদকরণ এবং উহা বাস্তবায়নে প্রয়োজনীয় দিক্-নির্দেশনা প্রদান।"
সড়ক রক্ষণাবেক্ষণের জন্য অনুসরণযোগ্য পদ্ধতি নির্ধারণের ক্ষেত্রে পরিচালনা পরিষদের ভূমিকা কী?,সড়ক ও জনপথ অধিদপ্তর কর্তৃক পরিচালিত রোড কন্ডিশন সার্ভে’র উপর ভিত্তি করিয়া সড়ক রক্ষণাবেক্ষণের জন্য অনুসরণযোগ্য পদ্ধতি নির্ধারণ এবং এতদ্‌সংক্রান্ত বিষয়ে দিক্-নির্দেশনা প্রদান।
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, পরিচালনা পরিষদের সভা আহ্বানের দায়িত্ব কার?","পরিচালনা পরিষদের সদস্য-সচিব, চেয়ারম্যানের সম্মতিক্রমে।"
পরিচালনা পরিষদের সভায় কোরামের জন্য কতজন সদস্যের উপস্থিতি প্রয়োজন?,মোট সদস্য সংখ্যার অন্যূন এক তৃতীয়াংশ।
পরিচালনা পরিষদের সভায় সিদ্ধান্ত গ্রহণের জন্য কত ভোটের প্রয়োজন?,উপস্থিত সদস্যগণের সংখ্যাগরিষ্ঠ ভোট। ভোটের সমতার ক্ষেত্রে চেয়ারম্যানের দ্বিতীয় বা নির্ণায়ক ভোট প্রদানের ক্ষমতা থাকিবে।
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, বোর্ডের প্রধান নির্বাহী কর্মকর্তা কীভাবে নিযুক্ত হন?",সরকার কর্তৃক নিযুক্ত হন।
প্রধান নির্বাহী কর্মকর্তার অনুপস্থিতিতে কে তাঁর দায়িত্ব পালন করেন?,সরকার কর্তৃক মনোনীত কোন ব্যক্তি।
প্রধান নির্বাহী কর্মকর্তার দায়িত্ব ও ক্ষমতা কী কী?,"* পরিচালনা পরিষদের সিদ্ধান্ত বাস্তবায়ন করা।
* আইনের উদ্দেশ্য পূরণের জন্য পরিচালনা পরিষদের নির্দেশিত কার্যাবলী সম্পাদন, ক্ষমতা প্রয়োগ ও দায়িত্ব সম্পাদন করা।"
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, বোর্ড কী করতে পারে?",বোর্ড উহার কার্যাবলী সুষ্ঠুভাবে সম্পাদনের উদ্দেশ্যে প্রয়োজনীয় সংখ্যক কর্মকর্তা ও কর্মচারী নিয়োগ করিতে পারিবে।
কর্মকর্তা ও কর্মচারীদের নিয়োগ ও চাকুরীর শর্তাবলী কীভাবে নির্ধারিত হবে?,প্রবিধান দ্বারা নির্ধারিত হইবে।
বোর্ডের কর্মকর্তা ও কর্মচারীদের নিয়োগের উদ্দেশ্য কী?,বোর্ডের কার্যাবলী সুষ্ঠুভাবে সম্পাদন করা।
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, বোর্ড কোন কাজের জন্য কমিটি গঠন করতে পারে?","বোর্ড, উহার কার্যাবলী দক্ষতার সহিত সম্পাদনে সহায়তা করিবার জন্য কমিটি গঠন করিতে পারিবে।"
কমিটি গঠনের ক্ষেত্রে বোর্ডের কী কী ক্ষমতা রয়েছে?,"বোর্ড কমিটির সদস্য সংখ্যা, দায়িত্ব, কর্মপরিধি এবং কার্যধারা নির্ধারণ করিতে পারিবে।"
কমিটি গঠনের উদ্দেশ্য কী?,বোর্ডের কার্যাবলী দক্ষতার সহিত সম্পাদনে সহায়তা করা।
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, তহবিলের উৎসসমূহ কী কী?","(ক) সরকার কর্তৃক প্রদত্ত অনুদান
(খ) বিধি দ্বারা নির্ধারিত অন্য কোন উৎস বা অন্য আইনের অধীন প্রতিষ্ঠিত কোন সংস্থা বা কর্তৃপক্ষ কর্তৃক আদায়কৃত কর, লেভী, ফি, চার্জ, ইত্যাদি
(গ) সরকারের পূর্বানুমোদনক্রমে বিদেশী সরকার, সংস্থা বা কোন আন্তর্জাতিক সংস্থা কর্তৃক প্রদত্ত অনুদান"
তহবিলের অর্থ কোন কোন ক্ষেত্রে ব্যবহার করা যায়?,"(ক) সড়ক রক্ষণাবেক্ষণ
(খ) কর্মকর্তা ও কর্মচারীদের বেতন, ভাতা ও তাহাদের চাকুরির শর্তাবলী অনুসারে প্রদেয় অর্থ প্রদান
(গ) বোর্ডের প্রয়োজনীয় অন্যান্য ব্যয়"
তহবিলের অর্থ ব্যবহারের ক্ষেত্রে কোন নিয়ম-নীতি অনুসরণ করতে হয়?,সরকারের নিয়ম-নীতি ও বিধি-বিধান
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, সড়ক রক্ষণাবেক্ষণ কর্মসূচী অনুমোদন করার দায়িত্ব কার?",বোর্ড
সড়ক রক্ষণাবেক্ষণ কর্মসূচী অনুমোদন করার আগে বোর্ড কার সঙ্গে পরামর্শ করে?,সরকার
বোর্ড কর্মসূচী অনুমোদন করার পর কী করে?,অনুমোদিত কর্মসূচীর একটি তালিকা প্রকাশ করে
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, বোর্ড কী করবে?",প্রতি বছর সরকার কর্তৃক নির্দিষ্ট সময়ের মধ্যে পরবর্তী অর্থ বছরের বার্ষিক বাজেট বিবরণী সরকারের নিকট পেশ করবে।
বাজেট বিবরণীতে কী থাকবে?,সম্ভাব্য আয়-ব্যয় এবং সরকারের কাছ থেকে বোর্ডের প্রয়োজনীয় অর্থের পরিমাণ।
বাজেট বিবরণী কখন পেশ করতে হবে?,সরকার কর্তৃক নির্দিষ্ট সময়ের মধ্যে।
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, বোর্ডের কোন দায়িত্ব রয়েছে?",বোর্ড যথাযথভাবে উহার তহবিলের হিসাব রক্ষণ করিবে এবং হিসাবের বার্ষিক বিবরণী প্রস্তুত করিবে।
তহবিলের হিসাব নিরীক্ষণের দায়িত্ব কার?,বাংলাদেশের মহা-হিসাব নিরীক্ষক ও নিয়ন্ত্রক (মহা-হিসাব নিরীক্ষক) প্রতি বৎসর তহবিলের হিসাব নিরীক্ষা করিবেন।
মহা-হিসাব নিরীক্ষক হিসাব নিরীক্ষার উদ্দেশ্যে কী কী করতে পারেন?,"মহা-হিসাব নিরীক্ষক বোর্ডের সকল রেকর্ড, দলিল-দস্তাবেজ, অর্থ, জামানত, ভান্ডার এবং অন্যবিধ সম্পত্তি পরীক্ষা করতে পারেন এবং বোর্ডের কর্মকর্তা বা কর্মচারীদের জিজ্ঞাসাবাদ করতে পারেন।"
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, বোর্ডের দায়িত্ব কী?","বোর্ড তহবিল প্রাপ্তি, পরিচালনা ও ব্যবহারসহ তদ্‌কর্তৃক সম্পাদিত কার্যাবলীর বিবরণ সম্বলিত একটি বার্ষিক প্রতিবেদন প্রস্তুত করবে।"
বোর্ডের প্রস্তুতকৃত বার্ষিক প্রতিবেদন কখন সরকারের কাছে পেশ করতে হবে?,প্রতি অর্থ বৎসর শেষ হওয়ার পরবর্তী ৩ (তিন) মাসের মধ্যে।
সরকার বোর্ডের কার্যক্রম সম্পর্কে কী করতে পারে?,সরকার যে কোন সময়ে বোর্ডের কর্মকাণ্ড অথবা যে কোন প্রকার অভিযোগের বিষয়ে তদন্তের নির্দেশ দিতে পারে।
"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩ অনুযায়ী, বোর্ডের ক্ষমতা কাকে অর্পণ করা যায়?","চেয়ারম্যান, কোন সদস্য বা প্রধান নির্বাহী কর্মকর্তাকে।"
বোর্ডের ক্ষমতা অর্পণের ক্ষেত্রে কোন শর্ত প্রযোজ্য হতে পারে?,বোর্ড কর্তৃক নির্ধারিত শর্ত।
বোর্ডের ক্ষমতা অর্পণের ক্ষেত্রে কী বিবেচনা করা হয়?,প্রয়োজনবোধ।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, জীবনসদস্য ও সদস্য হওয়ার জন্য কোন শর্তগুলি পূরণ করতে হবে?","ভাষা, সাহিত্য, সংস্কৃতি, বিজ্ঞান, শিল্পকলা, সাংবাদিকতা, সামাজিক বিজ্ঞান অথবা জ্ঞানের বিশেষ ক্ষেত্রে বিশেষ অবদান রাখতে হবে এবং বয়স কমপক্ষে ৩০ বছর হতে হবে।"
এক খ্রিস্টীয় বছরে সর্বোচ্চ কতজন ব্যক্তিকে সদস্য করা যায়?,সর্বোচ্চ ২১ জন ব্যক্তিকে সদস্য করা যায়।
কোনো সদস্যের সদস্যপদ বাতিল হলে বা পদত্যাগ করলে কী ঘটে?,সদস্যপদ বাতিল হলে বা পদত্যাগ করলে তিনি পুনরায় সদস্য হতে পারবেন না।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, কোন কারণে সদস্যপদ বাতিল করা যায়?","বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, নিম্নলিখিত কারণে সদস্যপদ বাতিল করা যায়:
(ক) নৈতিক স্খলনজনিত কোনো ফৌজদারি অপরাধে দোষী সাব্যস্ত হইয়া অন্যূন ৬(ছয়) মাস কারাদণ্ডে দণ্ডিত হইলে
(খ) একাডেমির স্বার্থ বা আদর্শের পরিপন্থি কোনো কর্মকাণ্ডের সহিত জড়িত থাকিলে
(গ) সদস্যপদ প্রাপ্তির জন্য নির্ধারিত যোগ্যতার সহিত অসঙ্গতি দেখা দিলে"
নৈতিক স্খলনজনিত কোনো ফৌজদারি অপরাধে দোষী সাব্যস্ত হলে কত মাসের কারাদণ্ডে দণ্ডিত হলে সদস্যপদ বাতিল করা যায়?,নৈতিক স্খলনজনিত কোনো ফৌজদারি অপরাধে দোষী সাব্যস্ত হলে অন্যূন ৬(ছয়) মাসের কারাদণ্ডে দণ্ডিত হলে সদস্যপদ বাতিল করা যায়।
একাডেমির স্বার্থ বা আদর্শের পরিপন্থি কোনো কর্মকাণ্ডের সহিত জড়িত থাকলে কী হয়?,একাডেমির স্বার্থ বা আদর্শের পরিপন্থি কোনো কর্মকাণ্ডের সহিত জড়িত থাকলে সদস্যপদ বাতিল করা যায়।
বাংলা একাডেমির প্রধান কার্যাবলি কী কী?,"বাংলা ভাষা, সাহিত্য ও সংস্কৃতির উন্নয়ন, লালন ও প্রসার সাধন; বাংলা ভাষার প্রচলন, ব্যবহার ও বিকাশের জন্য প্রয়োজনীয় উদ্যোগ গ্রহণ ও সহায়তা প্রদান; বাংলা ভাষার প্রামাণ্য অভিধান, পরিভাষা ও ব্যাকরণ রচনা, রেফারেন্স গ্রন্থ, গ্রন্থপঞ্জি এবং বিশ্বকোষ প্রণয়ন, প্রকাশন ও সহজলভ্যকরণ।"
বাংলা একাডেমি কীভাবে বাংলা ভাষার প্রচলন ও ব্যবহার বাড়াতে সহায়তা করে?,"বাংলা একাডেমি দ্রুত পরিবর্তনশীল ও প্রযুক্তিগত পরিবর্তন ও সম্প্রসারণের সঙ্গে সঙ্গতি রক্ষা করে এবং বাংলা ভাষার গৌরবময় ঐতিহ্য সমুন্নত রেখে জীবনের সর্বস্তরে এবং জ্ঞানচর্চার সর্বক্ষেত্রে বাংলা ভাষার প্রচলন, ব্যবহার ও বিকাশের জন্য প্রয়োজনীয় উদ্যোগ গ্রহণ ও সহায়তা প্রদান করে।"
বাংলা একাডেমি কীভাবে বাংলা ভাষা ও সাহিত্যের আন্তর্জাতিক প্রচার ও প্রসারে ভূমিকা রাখে?,"বাংলা একাডেমি বিশ্বের বিভিন্ন ভাষায় বাংলা সাহিত্যকর্মের অনুবাদের ব্যবস্থা করে এবং অন্যান্য ভাষার উল্লেখযোগ্য সাহিত্যকর্ম বাংলায় অনুবাদের ব্যবস্থা করে। এছাড়াও, বিদেশে সেমিনার ও বইমেলার আয়োজন করে এবং বিভিন্ন দেশে বাঙালি অভিবাসী এবং তাদের নতুন প্রজন্মের সঙ্গে বাংলা ভাষা, সাহিত্য ও ঐতিহ্যের সংযোগ সৃষ্টির ব্যবস্থা গ্রহণ করে।"
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, বাংলা একাডেমির মুখ্য প্রতিষ্ঠান হিসাবে কোন দায়িত্ব রয়েছে?","বাংলা ভাষা প্রমিতকরণ, উহার উৎকর্ষ সাধন এবং বাংলা ভাষার অভিধান প্রণয়ন।"
বাংলা একাডেমির মুখ্য প্রতিষ্ঠান হিসাবে কাজ করার ক্ষেত্রে এর প্রাথমিক লক্ষ্য কী?,বাংলা ভাষার প্রমিতকরণ এবং উৎকর্ষ সাধন।
বাংলা একাডেমির মুখ্য প্রতিষ্ঠান হিসাবে অন্য কোন গুরুত্বপূর্ণ দায়িত্ব কী?,বাংলা ভাষার অভিধান প্রণয়ন।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী একাডেমির কতটি বিভাগ রয়েছে?",১২টি
"বাংলা একাডেমির ""অনুবাদ, পাঠ্যপুস্তক ও আন্তর্জাতিক সংযোগ"" বিভাগের দায়িত্ব কী?","অনুবাদ, পাঠ্যপুস্তক প্রণয়ন এবং আন্তর্জাতিক সংযোগ স্থাপন করা।"
বাংলা একাডেমির বিভাগগুলির দায়িত্ব ও কার্যাবলি কীভাবে নির্ধারিত হয়?,প্রবিধান দ্বারা
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, একাডেমি কোন উদ্দেশ্যে গবেষণা কেন্দ্র বা ইনস্টিটিউট স্থাপন করতে পারে?",জ্ঞানের কোনো বিশেষ বিষয়ে মৌলিক গবেষণা এবং উহার উৎকর্ষ সাধনের লক্ষ্যে।
গবেষণা কেন্দ্র বা ইনস্টিটিউট স্থাপনের আগে একাডেমিকে কী করতে হবে?,সরকারের পূর্বানুমোদন নিতে হবে।
"বাংলা একাডেমি আইন, ২০১৩-এ গবেষণা কেন্দ্র বা ইনস্টিটিউট স্থাপন সম্পর্কিত বিধান কোন ধারায় রয়েছে?",ধারা ১৩
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, একাডেমির কোন সুবিধাটি থাকবে?",একাডেমির একটি আধুনিক প্রযুক্তিনির্ভর মুদ্রণালয় থাকিবে।
একাডেমির মুদ্রণালয়টি কীভাবে পরিচালিত হবে?,একাডেমির মুদ্রণালয়টি নির্ধারিত পদ্ধতিতে পরিচালিত হইবে।
"বাংলা একাডেমি আইন, ২০১৩-এ মুদ্রণালয় সম্পর্কিত বিধান কোন ধারায় উল্লেখ করা হয়েছে?",এই প্রশ্নের উত্তর প্রদত্ত পাঠ্যে নেই।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, একাডেমি কোন ক্ষেত্রে বিশ্ববিদ্যালয় বা প্রতিষ্ঠানের সহায়তা নিতে পারে?",ধারা ১০ এ উল্লেখকৃত যেকোনো কার্য সম্পাদনের জন্য।
বিদেশি বিশ্ববিদ্যালয় বা প্রতিষ্ঠানের সহায়তা গ্রহণের ক্ষেত্রে একাডেমিকে কী করতে হবে?,সরকারের অনুমোদন গ্রহণ করতে হবে।
একাডেমি বিশ্ববিদ্যালয় বা প্রতিষ্ঠানের সহায়তা গ্রহণের আগে কার অনুমোদন নিতে হবে?,নির্বাহী পরিষদের।
"বাংলা একাডেমি আইন, ২০১৩ অনুযায়ী, একাডেমি কীভাবে চেয়ার প্রতিষ্ঠা করতে পারে?",একাডেমি নির্ধারিত পদ্ধতিতে বা বিধি বা প্রবিধান প্রণীত না হওয়া পর্যন্ত নির্বাহী পরিষদের সিদ্ধান্তক্রমে চেয়ার প্রতিষ্ঠা করতে পারে।
"বাংলা ভাষা, সাহিত্য ও সংস্কৃতির ক্ষেত্রে অধিকতর অবদান রাখার জন্য একাডেমি কীভাবে চেয়ার প্রতিষ্ঠা করতে পারে?","একাডেমি নির্বাহী পরিষদের সিদ্ধান্তক্রমে, নির্ধারিত সময় ও পদ্ধতিতে বিশিষ্ট ব্যক্তিদের জন্য চেয়ার প্রতিষ্ঠা করতে পারে, যাতে তারা এই ক্ষেত্রে আরও অবদান রাখতে পারেন।"
"বাংলা একাডেমি আইন, ২০১৩-এর কোন উপ-ধারা চেয়ার প্রতিষ্ঠার বিষয়ে কথা বলে?",উপ-ধারা (১) এবং (২)
